index;SpType;RA;DEC;B;V;RV;Teff;e_Teff;log(g);e_log(g);[Fe/H];e_[Fe/H];lum;misc;PHYSREF;NAMES
G_182-19;G0V;264.90416666666664;37.18375;8.96;8.36;39.7;5795.0;24.0;4.25;0.05;-0.54;0.04;V;;2000AJ....120.1841F (Fulbright);G 182-19 HD 160693 BD+37 2926 G 204-21 SAO 66228 HIP 86431
G_183-11;F0;268.6791666666667;20.27122222222222;10.13;9.69;-242.7;6133.0;35.0;3.97;0.05;-2.06;0.09;;;2000AJ....120.1841F (Fulbright);G 183-11 BD+20 3603 G 183-11D HIP 87693
G_193-33;G0;107.625;53.251777777777775;9.5;8.7;-28.8;5814.0;34.0;4.12;0.07;-0.52;0.06;;;1994AJ....107.2240C (Carney);G 193-33 HD 233345 BD+53 1111 SAO 26190 HIP 34642
G_196-33;F8;158.4625;49.186166666666665;8.1;7.6;-25.2;5901.0;24.0;4.3;0.04;-0.47;0.04;;;1993A&A...275..101E (Edvardsson);G 196-33 HD 91347 BD+49 1966 SAO 43383 HIP 51700
G_196-9;K5;152.84166666666667;49.45425;7.98;6.61;-26.1;3947.0;12.0;4.61;0.05;-0.29;0.05;;;1977A&A....61...17O (Oinas);G 196-9 HD 88230 BD+50 1725 SAO 43223 HIP 49908
G_197-45;G5;182.36666666666667;51.931666666666665;11.45;10.73;23.5;5402.0;51.0;4.51;0.1;-0.61;0.11;;;1994AJ....107.2240C (Carney);G 197-45
G_197-56;G2V;185.36666666666667;61.74725;8.81;8.2;-82.0;5620.0;62.0;4.42;0.12;-0.71;0.13;V;;1994AJ....107.2240C (Carney);G 197-56 HD 107582 BD+62 1227 G 237-60 SAO 15778 HIP 60268
G_200-36;G5;216.20416666666668;41.27511111111111;9.2;8.3;;5511.0;29.0;4.43;0.06;0.18;0.05;;;1998A&AS..129..237F (Feltzing);G 200-36 HD 126511 BD+41 2498 SAO 45046 HIP 70470
G_200-62;K1V;223.7958333333333;53.68033333333333;8.52;7.73;-14.9;5180.0;25.0;4.51;0.05;-0.38;0.05;V;;1981ApJ...244..989P (Peterson);G 200-62 HD 132142 BD+54 1716 G 224-32 SAO 29336 HIP 73005
G_205-5;K2V;272.40416666666664;38.45777777777778;7.27;6.37;-18.7;4973.0;21.0;4.56;0.04;-0.2;0.05;V;;1975A&A....39...97P (Perrin);G 205-5 HD 166620 BD+38 3095 SAO 66700 HR 6806 HIP 88972
G_207-5;F8;282.8541666666667;38.626583333333336;7.7;7.16;-11.9;5904.0;51.0;4.32;0.09;-0.5;0.09;;;1993A&A...275..101E (Edvardsson);G 207-5 HD 174912 BD+38 3327 SAO 67481 HIP 92532
G_212-10;K0III-IV;314.2;42.89566666666666;8.17;7.19;-19.4;4877.0;32.0;3.19;0.09;-0.17;0.07;III;#NAME?;Jones..Coude.Feed.Library;G 212-10 HD 199580 BD+42 3915 SAO 50265 HIP 103392
G_223-65;G3IV;217.15833333333333;49.84486111111112;6.44;5.59;-5.5;4968.0;31.0;2.38;0.09;-0.72;0.08;IV;;1990ApJS...74.1075M (McWilliam);G 223-65 HD 127243 BD+50 2084 SAO 29165 HR 5420 HIP 70791
G_227-46;M3V;280.6958333333333;59.63038888888889;10.45;8.91;-1.4;3481.0;10.0;4.78;0.07;-1.01;0.13;V;;;G 227-46 HD 173739 BD+59 1915A G 229-13 SAO 31128 HIP 91768
G_229-34;F8;293.0125;50.18155555555556;8.69;8.07;-22.0;5675.0;31.0;4.18;0.06;-0.28;0.05;;;1999MNRAS.302...22C (Clementini);G 229-34 HD 184448 BD+49 3038 G 230-5 SAO 31752 HIP 96077
G_230-49;G0;311.6458333333333;59.85263888888889;9.1;8.51;-32.2;5763.0;53.0;4.24;0.12;-0.54;0.1;;;1994AJ....107.2240C (Carney);G 230-49 HD 198300 BD+59 2283 G 231-15 SAO 32884 HIP 102523
G_237-84;G0;194.70416666666668;68.78525;8.75;8.08;7.0;5572.0;29.0;4.52;0.06;-0.45;0.06;;;1994AJ....107.2240C (Carney);G 237-84 HD 112956 BD+69 681 G 238-19 SAO 15958 HIP 63346
G_241-18;G5;340.2291666666667;66.52341666666666;8.05;7.42;-45.9;5631.0;43.0;4.39;0.08;-0.51;0.08;;;1994AJ....107.2240C (Carney);G 241-18 HD 215065 BD+65 1796 SAO 20205 HIP 111977
G_243-63;F8V;17.429166666666667;61.54727777777778;8.4;7.73;-319.1;5063.0;51.0;2.46;0.16;-1.63;0.12;V;;2000AJ....120.1841F (Fulbright);G 243-63 HD 6755 BD+60 170 G 244-16 SAO 11602 HIP 5445
G_244-59;G8V;34.204166666666666;64.95261111111111;8.95;8.29;-31.0;5538.0;34.0;4.44;0.07;-0.5;0.07;V;;1981ApJ...244..989P (Peterson);G 244-59 HD 13783 BD+64 312 SAO 12200 HIP 10629
G_245-32;sd:F2;26.8;73.47422222222222;10.33;9.95;;6114.0;62.0;4.06;0.09;-1.8;0.16;VI;;1996A&A...314..191G (Gratton);G 245-32 BD+72 94 HIP 8314
G_246-38;G0;52.82083333333333;66.73027777777779;10.53;9.88;-160.0;5389.0;60.0;4.04;0.13;-1.9;0.16;;;2000A&A...353..978M (Mishenina);G 246-38 BD+66 268 HIP 16404
G_249-49;G0;97.56666666666666;60.78411111111111;8.6;8.0;60.6;5875.0;33.0;4.11;0.06;-0.83;0.06;;;2000AJ....120.1841F (Fulbright);G 249-49 HD 45205 BD+60 970 G 250-2 SAO 13854 HIP 30990
G_250-22;K5;102.4875;60.33555555555556;9.82;8.58;-48.6;4257.0;20.0;4.68;0.06;-0.16;0.06;;;;G 250-22 HD 48948 BD+60 1003 SAO 13971 HIP 32769
G_256-34;K1III;247.6625;77.44652777777779;7.34;6.34;-32.0;4693.0;26.0;2.57;0.1;-0.6;0.06;III;;1986A&A...161..314C (Cottrell);G 256-34 HD 150275 BD+77 627 G 259-1 SAO 8548 HR 6191 HIP 80850
G_257-32;K7;244.17916666666667;67.23883333333333;10.01;8.6;-17.0;3600.0;15.0;4.59;0.11;-0.84;0.19;;;Jones..Coude.Feed.Library;G 257-32 HD 147379 BD+67 935 G 225-57 BD+67 935A SAO 17026 HIP 79755
G_259-35;G5III;281.775;74.72541666666667;7.93;7.2;-181.0;5056.0;31.0;2.48;0.09;-1.44;0.07;III;;2000A&A...353..978M (Mishenina);G 259-35 HD 175305 BD+74 792 SAO 9252 HIP 92167
G_270-23;F5V;9.633333333333333;-8.309277777777778;9.71;9.26;-49.7;6161.0;59.0;4.12;0.08;-1.09;0.12;V;;2000A&A...353..722N (Nissen);G 270-23 HD 3567 BD-09 122 SAO 128872 HIP 3026
BD-15_872;F2;72.43333333333334;-15.741194444444444;10.01;9.69;70.0;5511.0;66.0;4.27;0.16;-0.39;0.13;;;;BD-15 872 SAO 149918 HIP 22442
BD-11_4126;K3V;245.8625;-11.594611111111112;11.2;10.4;;4731.0;26.0;4.63;0.06;-0.03;0.06;V;;1997AJ....114..376C (Castro);BD-11 4126 HIP 80295
BD-10_3166;K0V;164.62083333333334;-10.770388888888888;10.9;10.0;;5326.0;43.0;4.45;0.08;0.4;0.07;V;;1997AJ....114..376C (Castro);BD-10 3166
BD-01_2582;F0;178.40416666666667;-2.0101944444444446;10.25;9.62;0.0;5004.0;72.0;2.24;0.22;-2.25;0.16;;;2000ApJ...544..302B (Burris);BD-01 2582 HIP 57983
BD+01_2916;K0;215.4375;0.7831111111111111;10.93;9.65;-13.0;4312.0;26.0;0.66;0.09;-1.91;0.06;;;2000ApJ...544..302B (Burris);BD+01 2916 SAO 120412 HIP 70199
BD+04_4551;F7Vw;312.2125;5.199666666666667;10.18;9.69;;5986.0;58.0;4.16;0.09;-1.28;0.13;V;w;1996A&A...314..191G (Gratton);BD+04 4551 SAO 126242 HIP 102718
BD+11_2998;F8;247.57083333333333;10.997694444444445;9.7;9.07;50.0;5334.0;45.0;2.61;0.12;-1.21;0.11;;;2000ApJ...544..302B (Burris);BD+11 2998 SAO 102213 HIP 80822
BD+18_2976;G0;226.85;17.449527777777778;10.63;9.85;-173.0;4753.0;49.0;1.58;0.16;-2.17;0.11;;;2003AJ....125..293C (Carney);BD+18 2976 SAO 101380 HIP 74003
BD+25_2436;G7III;179.12083333333334;24.98783333333333;10.81;9.92;;4964.0;41.0;2.46;0.12;-0.53;0.1;III;;2001A&A...380..578T (Tautvaisiene);BD+25 2436 SAO 82063 NGP 25 15
BD+25_2479;G8III;184.20416666666668;24.855805555555555;11.3;10.43;;5458.0;46.0;4.33;0.09;0.4;0.07;III;; 1985AJ.....90..803R (Rose);BD+25 2479 NGP 25 44
BD+25_2497;G6III;185.52083333333331;25.105611111111116;11.2;10.29;;4941.0;46.0;2.49;0.14;-0.65;0.11;III;;1996AN....317...29T (Tautvaisiene);BD+25 2497 NGP 25 55
